Nom_del_llibre,Autor,Any_edició,Idioma,Gènere
¡Socorro! (12 cuentos para caerse de miedo),Elsa Bornemann,2016,Castellano,Relats de por
¡Va de cuentos!,Varios,1999,Castellano,Relatos breves
3L 4S3S1N4TO D3L PR0F3S0R D3 M4T3M4Y1C4S,Jordi Sierra i Fabra,2008,Castellano,Misterio
50 cosas somples que los niños pueden hacer para salvar la tierra,(adaptación),1991,Castellano,
A boca de canó,Manel Àlamo,2015,Català,Ficció
A la recerca de les veus perdudes,Jordi Sierra i Fabra,2007,Català,
A les fosques,Octavi Egea,1999,Català,
A prison diary,Jeffrey Archer,2004,English,Novela
"Adéu, Serena",Maria Lluïsa Solà,1994,Català,Fantasia/Aventura
Ales de foc,Laura Gallego,2004,Català,
Ales de Foc,Laura Gallego,2007,Català,Fantasia i magia
Alicia en el País de las Maravillas,Lewis Carroll,1982,Castellano,Ficció
Alimentación Consciente,Suzanne Powell,2013,Castellano,
"Asesinato en el ""Canadian Express""",Eric Wilson,1996,Castellano,Ficció
Assasinat a l'escola del Treball,F. Xavier Prados i Campos,1994,Català,Misteri
Aura Gris,Pilar Molina Llorente,1998,Castellano,Novel·la històrica
Aventuras de <<La Mano Negra>>,Hans Jurgen Press,2001,Castellano,Intriga
"Babe, el cerdito en la ciudad",Justine Korman y Ron Fontes,1999,Castellano,Comèdia
Bodas de sangre,Federico García Lorca,2012,Castellano,Tragèdia
Bonadea,Irmelin Sandman-Lilius,1967,Castellano,
Boy (relatos de la infancia),Roald Dahl,2004,Castellano,Juvenil
CABELLS PORPRES,Jordi de Manuel,2003,Català,
Cada gra de raïm,Manel Ballart,2018,Català,Juvenil
Caperucita en Manhattan,Carmen Martín Gaite,2000,Castellano,Juvenil
Charlie y el gran ascensor de cristal,Roald Dahl,2012,Castellano,Ficció fantàstica
COLLINS POCKET ALEMÁN ESPAÑOL -DEUTSCH - SPANISH,Varios,1998,Español - Aleman,Diccionari
Colmillo Blanco,A.Garcia Llorca,2018,Castellano,
Cuando hitler robó el conejo rosa,Judith Kerr,2013,Castellano,Novel·la històrica
Cuentos de aventuras,S.Martin,2011,Castellano,
Cuentos de Mowgli (de El libro de la jungla),Rudyard Kipling (Adaptación),2019,Castellano,
Cuentos de un invierno,Manuel Rivas,2005,Castellano,
Cuentos para jugar,Gianni Rodari,2004,Castellano,Amor
Diari del Greg: Un pringat total,Jeff Kinney,2016,Català,Ficció / Humor
